time,load actual
2015-01-01,573522.00
2015-01-02,654031.00
2015-01-03,602656.00
2015-01-04,650703.00
2015-01-05,406070.00
2015-01-06,667264.00
2015-01-07,770520.00
2015-01-08,631500.00
2015-01-09,732264.00
2015-01-10,671778.00
2015-01-11,548898.00
2015-01-12,752122.00
2015-01-13,771234.00
2015-01-14,770740.00
2015-01-15,769388.00
2015-01-16,770516.00
2015-01-17,700578.00
2015-01-18,669522.00
2015-01-19,792704.00
2015-01-20,816890.00
2015-01-21,819827.00
2015-01-22,814048.00
2015-01-23,802958.00
2015-01-24,719613.00
2015-01-25,660295.00
2015-01-26,780961.00
2015-01-27,790396.00
2015-01-28,749901.00
2015-01-29,782389.00
2015-01-30,772470.00
2015-01-31,693434.00
2015-02-01,342907.00
2015-02-02,789294.00
2015-02-03,705374.00
2015-02-04,571751.00
2015-02-05,567650.00
2015-02-06,701690.00
2015-02-07,756828.00
2015-02-08,594469.00
2015-02-09,723536.00
2015-02-10,670169.00
2015-02-11,635936.00
2015-02-12,749745.00
2015-02-13,774476.00
2015-02-14,695365.00
2015-02-15,639124.00
2015-02-16,744949.00
2015-02-17,774896.00
2015-02-18,774672.00
2015-02-19,760703.00
2015-02-20,759037.00
2015-02-21,686270.00
2015-02-22,635924.00
2015-02-23,751453.00
2015-02-24,771430.00
2015-02-25,766890.00
2015-02-26,751716.00
2015-02-27,732903.00
2015-02-28,653337.00
2015-03-01,662615.00
2015-03-02,807526.00
2015-03-03,709468.00
2015-03-04,518784.00
2015-03-05,547970.00
2015-03-06,708469.00
2015-03-07,764821.00
2015-03-08,726761.00
2015-03-09,702969.00
2015-03-10,599011.00
2015-03-11,680458.00
2015-03-12,742923.00
2015-03-13,700345.00
2015-03-14,644097.00
2015-03-15,602086.00
2015-03-16,715872.00
2015-03-17,735620.00
2015-03-18,740822.00
2015-03-19,692153.00
2015-03-20,713743.00
2015-03-21,655729.00
2015-03-22,610271.00
2015-03-23,732236.00
2015-03-24,749925.00
2015-03-25,742296.00
2015-03-26,722648.00
2015-03-27,711990.00
2015-03-28,623593.00
2015-03-29,543784.00
2015-03-30,657683.00
2015-03-31,662156.00
2015-04-01,629931.00
2015-04-02,825753.00
2015-04-03,718385.00
2015-04-04,546297.00
2015-04-05,640704.00
2015-04-06,693520.00
2015-04-07,691268.00
2015-04-08,736799.00
2015-04-09,682179.00
2015-04-10,557570.00
2015-04-11,683280.00
2015-04-12,734376.00
2015-04-13,654931.00
2015-04-14,672367.00
2015-04-15,681070.00
2015-04-16,639802.00
2015-04-17,668581.00
2015-04-18,599368.00
2015-04-19,551984.00
2015-04-20,622222.00
2015-04-21,665914.00
2015-04-22,663707.00
2015-04-23,620431.00
2015-04-24,655432.00
2015-04-25,601093.00
2015-04-26,558597.00
2015-04-27,655367.00
2015-04-28,663339.00
2015-04-29,665752.00
2015-04-30,667288.00
2015-05-01,677868.00
2015-05-02,783607.00
2015-05-03,727482.00
2015-05-04,525989.00
2015-05-05,676924.00
2015-05-06,702758.00
2015-05-07,651863.00
2015-05-08,744130.00
2015-05-09,600975.00
2015-05-10,675199.00
2015-05-11,678411.00
2015-05-12,659850.00
2015-05-13,698002.00
2015-05-14,712553.00
2015-05-15,667648.00
2015-05-16,602256.00
2015-05-17,561168.00
2015-05-18,671902.00
2015-05-19,683245.00
2015-05-20,667253.00
2015-05-21,663580.00
2015-05-22,666362.00
2015-05-23,603764.00
2015-05-24,550645.00
2015-05-25,652588.00
2015-05-26,674239.00
2015-05-27,681387.00
2015-05-28,689167.00
2015-05-29,656732.00
2015-05-30,608606.00
2015-05-31,558543.00
2015-06-01,605662.00
2015-06-02,823236.00
2015-06-03,719485.00
2015-06-04,574882.00
2015-06-05,670559.00
2015-06-06,638592.00
2015-06-07,786802.00
2015-06-08,742750.00
2015-06-09,549253.00
2015-06-10,683751.00
2015-06-11,675023.00
2015-06-12,606705.00
2015-06-13,606769.00
2015-06-14,551666.00
2015-06-15,657165.00
2015-06-16,665629.00
2015-06-17,674337.00
2015-06-18,685072.00
2015-06-19,695900.00
2015-06-20,637488.00
2015-06-21,586390.00
2015-06-22,705660.00
2015-06-23,704798.00
2015-06-24,663784.00
2015-06-25,711641.00
2015-06-26,728694.00
2015-06-27,675282.00
2015-06-28,628495.00
2015-06-29,759328.00
2015-06-30,783354.00
2015-07-01,758579.00
2015-07-02,749273.00
2015-07-03,631309.00
2015-07-04,655895.00
2015-07-05,670846.00
2015-07-06,585878.00
2015-07-07,812407.00
2015-07-08,748184.00
2015-07-09,653484.00
2015-07-10,672160.00
2015-07-11,598305.00
2015-07-12,641362.00
2015-07-13,775540.00
2015-07-14,800423.00
2015-07-15,805102.00
2015-07-16,802506.00
2015-07-17,800504.00
2015-07-18,705872.00
2015-07-19,640396.00
2015-07-20,793484.00
2015-07-21,817725.00
2015-07-22,804835.00
2015-07-23,803183.00
2015-07-24,795545.00
2015-07-25,684684.00
2015-07-26,632256.00
2015-07-27,768681.00
2015-07-28,786625.00
2015-07-29,797568.00
2015-07-30,770178.00
2015-07-31,730050.00
2015-08-01,784885.00
2015-08-02,684181.00
2015-08-03,583753.00
2015-08-04,678050.00
2015-08-05,675323.00
2015-08-06,707612.00
2015-08-07,809506.00
2015-08-08,659249.00
2015-08-09,659252.00
2015-08-10,664972.00
2015-08-11,556566.00
2015-08-12,615680.00
2015-08-13,701818.00
2015-08-14,662394.00
2015-08-15,578269.00
2015-08-16,553364.00
2015-08-17,652326.00
2015-08-18,658956.00
2015-08-19,663918.00
2015-08-20,687415.00
2015-08-21,701232.00
2015-08-22,631846.00
2015-08-23,574698.00
2015-08-24,666071.00
2015-08-25,684830.00
2015-08-26,685863.00
2015-08-27,718565.00
2015-08-28,721664.00
2015-08-29,655679.00
2015-08-30,612113.00
2015-08-31,736112.00
2015-09-01,775146.00
2015-09-02,807657.00
2015-09-03,695624.00
2015-09-04,686572.00
2015-09-05,607843.00
2015-09-06,716135.00
2015-09-07,793010.00
2015-09-08,586509.00
2015-09-09,677635.00
2015-09-10,649713.00
2015-09-11,648326.00
2015-09-12,716974.00
2015-09-13,559101.00
2015-09-14,659130.00
2015-09-15,677326.00
2015-09-16,687755.00
2015-09-17,671555.00
2015-09-18,663210.00
2015-09-19,597441.00
2015-09-20,551258.00
2015-09-21,666974.00
2015-09-22,685937.00
2015-09-23,681227.00
2015-09-24,673047.00
2015-09-25,670937.00
2015-09-26,603084.00
2015-09-27,554730.00
2015-09-28,661427.00
2015-09-29,673984.00
2015-09-30,671739.00
2015-10-01,689708.00
2015-10-02,742590.00
2015-10-03,706321.00
2015-10-04,677503.00
2015-10-05,558941.00
2015-10-06,716305.00
2015-10-07,782420.00
2015-10-08,692157.00
2015-10-09,684580.00
2015-10-10,587995.00
2015-10-11,672770.00
2015-10-12,734810.00
2015-10-13,653543.00
2015-10-14,662712.00
2015-10-15,663008.00
2015-10-16,665682.00
2015-10-17,602588.00
2015-10-18,552875.00
2015-10-19,664238.00
2015-10-20,675067.00
2015-10-21,670265.00
2015-10-22,667862.00
2015-10-23,668601.00
2015-10-24,597050.00
2015-10-25,571168.00
2015-10-26,661953.00
2015-10-27,677035.00
2015-10-28,676658.00
2015-10-29,676251.00
2015-10-30,670309.00
2015-10-31,597565.00
2015-11-01,639058.00
2015-11-02,808320.00
2015-11-03,701756.00
2015-11-04,612939.00
2015-11-05,668923.00
2015-11-06,701517.00
2015-11-07,694939.00
2015-11-08,710646.00
2015-11-09,657676.00
2015-11-10,545454.00
2015-11-11,677749.00
2015-11-12,733082.00
2015-11-13,678097.00
2015-11-14,602135.00
2015-11-15,558267.00
2015-11-16,674414.00
2015-11-17,696400.00
2015-11-18,697087.00
2015-11-19,693672.00
2015-11-20,692926.00
2015-11-21,627648.00
2015-11-22,588691.00
2015-11-23,723118.00
2015-11-24,755621.00
2015-11-25,748481.00
2015-11-26,740829.00
2015-11-27,728058.00
2015-11-28,653868.00
2015-11-29,607926.00
2015-11-30,734849.00
2015-12-01,760214.00
2015-12-02,762505.00
2015-12-03,698044.00
2015-12-04,563041.00
2015-12-05,690610.00
2015-12-06,681980.00
2015-12-07,637505.00
2015-12-08,716049.00
2015-12-09,609210.00
2015-12-10,556622.00
2015-12-11,681089.00
2015-12-12,665852.00
2015-12-13,622191.00
2015-12-14,741076.00
2015-12-15,745014.00
2015-12-16,736211.00
2015-12-17,733613.00
2015-12-18,717723.00
2015-12-19,656111.00
2015-12-20,607501.00
2015-12-21,706182.00
2015-12-22,714470.00
2015-12-23,700155.00
2015-12-24,614411.00
2015-12-25,523014.00
2015-12-26,578302.00
2015-12-27,573243.00
2015-12-28,657641.00
2015-12-29,653713.00
2015-12-30,648988.00
2015-12-31,600159.00
2016-01-01,522125.00
2016-01-02,719136.00
2016-01-03,748524.00
2016-01-04,700822.00
2016-01-05,530521.00
2016-01-06,668680.00
2016-01-07,736820.00
2016-01-08,730635.00
2016-01-09,757463.00
2016-01-10,611903.00
2016-01-11,558169.00
2016-01-12,750427.00
2016-01-13,760134.00
2016-01-14,765948.00
2016-01-15,760379.00
2016-01-16,693004.00
2016-01-17,658045.00
2016-01-18,774212.00
2016-01-19,780217.00
2016-01-20,776932.00
2016-01-21,773169.00
2016-01-22,758816.00
2016-01-23,666858.00
2016-01-24,615513.00
2016-01-25,726984.00
2016-01-26,745370.00
2016-01-27,746347.00
2016-01-28,745559.00
2016-01-29,739056.00
2016-01-30,665663.00
2016-01-31,618882.00
2016-02-01,584488.00
2016-02-02,733911.00
2016-02-03,747117.00
2016-02-04,632991.00
2016-02-05,606690.00
2016-02-06,674648.00
2016-02-07,661708.00
2016-02-08,746160.00
2016-02-09,763974.00
2016-02-10,563870.00
2016-02-11,664484.00
2016-02-12,742395.00
2016-02-13,665733.00
2016-02-14,626006.00
2016-02-15,754983.00
2016-02-16,770976.00
2016-02-17,781561.00
2016-02-18,785711.00
2016-02-19,771322.00
2016-02-20,683581.00
2016-02-21,633492.00
2016-02-22,733866.00
2016-02-23,737910.00
2016-02-24,745720.00
2016-02-25,739335.00
2016-02-26,752744.00
2016-02-27,696083.00
2016-02-28,638711.00
2016-02-29,732856.00
2016-03-01,587997.00
2016-03-02,737454.00
2016-03-03,738586.00
2016-03-04,594549.00
2016-03-05,662261.00
2016-03-06,677965.00
2016-03-07,613738.00
2016-03-08,754402.00
2016-03-09,693518.00
2016-03-10,673302.00
2016-03-11,678102.00
2016-03-12,673725.00
2016-03-13,616933.00
2016-03-14,743239.00
2016-03-15,756130.00
2016-03-16,745479.00
2016-03-17,747483.00
2016-03-18,738893.00
2016-03-19,655835.00
2016-03-20,607825.00
2016-03-21,715450.00
2016-03-22,716587.00
2016-03-23,701321.00
2016-03-24,611190.00
2016-03-25,567089.00
2016-03-26,587248.00
2016-03-27,536297.00
2016-03-28,619931.00
2016-03-29,683086.00
2016-03-30,686008.00
2016-03-31,699132.00
2016-04-01,670464.00
2016-04-02,739586.00
2016-04-03,742533.00
2016-04-04,710509.00
2016-04-05,669237.00
2016-04-06,607156.00
2016-04-07,727620.00
2016-04-08,752617.00
2016-04-09,654201.00
2016-04-10,695662.00
2016-04-11,690699.00
2016-04-12,625700.00
2016-04-13,703248.00
2016-04-14,700049.00
2016-04-15,691552.00
2016-04-16,622326.00
2016-04-17,574005.00
2016-04-18,677543.00
2016-04-19,699990.00
2016-04-20,703121.00
2016-04-21,692224.00
2016-04-22,682859.00
2016-04-23,602034.00
2016-04-24,554875.00
2016-04-25,615015.00
2016-04-26,672443.00
2016-04-27,679259.00
2016-04-28,678398.00
2016-04-29,673404.00
2016-04-30,600756.00
2016-05-01,666426.00
2016-05-02,739825.00
2016-05-03,666677.00
2016-05-04,722870.00
2016-05-05,670613.00
2016-05-06,560544.00
2016-05-07,753177.00
2016-05-08,732533.00
2016-05-09,796663.00
2016-05-10,665688.00
2016-05-11,618370.00
2016-05-12,699274.00
2016-05-13,670488.00
2016-05-14,596638.00
2016-05-15,539761.00
2016-05-16,610763.00
2016-05-17,650475.00
2016-05-18,668484.00
2016-05-19,666121.00
2016-05-20,667188.00
2016-05-21,601708.00
2016-05-22,553922.00
2016-05-23,650201.00
2016-05-24,664899.00
2016-05-25,674869.00
2016-05-26,672427.00
2016-05-27,671715.00
2016-05-28,603143.00
2016-05-29,547137.00
2016-05-30,649718.00
2016-05-31,662482.00
2016-06-01,590833.00
2016-06-02,671802.00
2016-06-03,622256.00
2016-06-04,707260.00
2016-06-05,670884.00
2016-06-06,670655.00
2016-06-07,759341.00
2016-06-08,650218.00
2016-06-09,817842.00
2016-06-10,693927.00
2016-06-11,565826.00
2016-06-12,644897.00
2016-06-13,712889.00
2016-06-14,724579.00
2016-06-15,710461.00
2016-06-16,675552.00
2016-06-17,670399.00
2016-06-18,608608.00
2016-06-19,561789.00
2016-06-20,673687.00
2016-06-21,703887.00
2016-06-22,713985.00
2016-06-23,709151.00
2016-06-24,675239.00
2016-06-25,643051.00
2016-06-26,584745.00
2016-06-27,705022.00
2016-06-28,738333.00
2016-06-29,738371.00
2016-06-30,742863.00
2016-07-01,717796.00
2016-07-02,619931.00
2016-07-03,760509.00
2016-07-04,700286.00
2016-07-05,600837.00
2016-07-06,699950.00
2016-07-07,748282.00
2016-07-08,598858.00
2016-07-09,776481.00
2016-07-10,677009.00
2016-07-11,684282.00
2016-07-12,702620.00
2016-07-13,744206.00
2016-07-14,729571.00
2016-07-15,719736.00
2016-07-16,650659.00
2016-07-17,602145.00
2016-07-18,736178.00
2016-07-19,763062.00
2016-07-20,777489.00
2016-07-21,775559.00
2016-07-22,754557.00
2016-07-23,661762.00
2016-07-24,607176.00
2016-07-25,707788.00
2016-07-26,772493.00
2016-07-27,775049.00
2016-07-28,773763.00
2016-07-29,768918.00
2016-07-30,688682.00
2016-07-31,627251.00
2016-08-01,721012.00
2016-08-02,728381.00
2016-08-03,764321.00
2016-08-04,704654.00
2016-08-05,556905.00
2016-08-06,717434.00
2016-08-07,754167.00
2016-08-08,704759.00
2016-08-09,764167.00
2016-08-10,606831.00
2016-08-11,716075.00
2016-08-12,629159.00
2016-08-13,627513.00
2016-08-14,578855.00
2016-08-15,594375.00
2016-08-16,683072.00
2016-08-17,696559.00
2016-08-18,708534.00
2016-08-19,713227.00
2016-08-20,658657.00
2016-08-21,598813.00
2016-08-22,718511.00
2016-08-23,737048.00
2016-08-24,735415.00
2016-08-25,729491.00
2016-08-26,728990.00
2016-08-27,662635.00
2016-08-28,625177.00
2016-08-29,746102.00
2016-08-30,752291.00
2016-08-31,754170.00
2016-09-01,653089.00
2016-09-02,743307.00
2016-09-03,775747.00
2016-09-04,627123.00
2016-09-05,666558.00
2016-09-06,725901.00
2016-09-07,689450.00
2016-09-08,712047.00
2016-09-09,753332.00
2016-09-10,559760.00
2016-09-11,718959.00
2016-09-12,676969.00
2016-09-13,736619.00
2016-09-14,693252.00
2016-09-15,680053.00
2016-09-16,678416.00
2016-09-17,611106.00
2016-09-18,563667.00
2016-09-19,667798.00
2016-09-20,691157.00
2016-09-21,690178.00
2016-09-22,696395.00
2016-09-23,690603.00
2016-09-24,610437.00
2016-09-25,562841.00
2016-09-26,676293.00
2016-09-27,696652.00
2016-09-28,669715.00
2016-09-29,688627.00
2016-09-30,685504.00
2016-10-01,621950.00
2016-10-02,742064.00
2016-10-03,767892.00
2016-10-04,583974.00
2016-10-05,681063.00
2016-10-06,713267.00
2016-10-07,641234.00
2016-10-08,683399.00
2016-10-09,671186.00
2016-10-10,662487.00
2016-10-11,719998.00
2016-10-12,641873.00
2016-10-13,661200.00
2016-10-14,656166.00
2016-10-15,590837.00
2016-10-16,550852.00
2016-10-17,671183.00
2016-10-18,685659.00
2016-10-19,682395.00
2016-10-20,679653.00
2016-10-21,675533.00
2016-10-22,612380.00
2016-10-23,568465.00
2016-10-24,675295.00
2016-10-25,688494.00
2016-10-26,685232.00
2016-10-27,683358.00
2016-10-28,677965.00
2016-10-29,599154.00
2016-10-30,566607.00
2016-10-31,602558.00
2016-11-01,724376.00
2016-11-02,742235.00
2016-11-03,751590.00
2016-11-04,698277.00
2016-11-05,678839.00
2016-11-06,629008.00
2016-11-07,773978.00
2016-11-08,680219.00
2016-11-09,619740.00
2016-11-10,668920.00
2016-11-11,716565.00
2016-11-12,614894.00
2016-11-13,588993.00
2016-11-14,703744.00
2016-11-15,728617.00
2016-11-16,725476.00
2016-11-17,727133.00
2016-11-18,722367.00
2016-11-19,643934.00
2016-11-20,607981.00
2016-11-21,720916.00
2016-11-22,738515.00
2016-11-23,740976.00
2016-11-24,744547.00
2016-11-25,750640.00
2016-11-26,678171.00
2016-11-27,626330.00
2016-11-28,731645.00
2016-11-29,752680.00
2016-11-30,748733.00
2016-12-01,745934.00
2016-12-02,740071.00
2016-12-03,668298.00
2016-12-04,714548.00
2016-12-05,677502.00
2016-12-06,577164.00
2016-12-07,774316.00
2016-12-08,686174.00
2016-12-09,742479.00
2016-12-10,581821.00
2016-12-11,637890.00
2016-12-12,733127.00
2016-12-13,759878.00
2016-12-14,766908.00
2016-12-15,769368.00
2016-12-16,764105.00
2016-12-17,680353.00
2016-12-18,645178.00
2016-12-19,770906.00
2016-12-20,772783.00
2016-12-21,763804.00
2016-12-22,748839.00
2016-12-23,710885.00
2016-12-24,610378.00
2016-12-25,535713.00
2016-12-26,586992.00
2016-12-27,678824.00
2016-12-28,685103.00
2016-12-29,687599.00
2016-12-30,685187.00
